,COD_MUNI__,perc_access,road_access,total_pop
221,1013,11.0,6125.83544921875,54064.51171875
222,303,25.0,4083.05615234375,16134.46484375
223,1017,39.0,4941.85546875,12770.421875
224,414,44.0,7441.76513671875,16738.52734375
225,308,33.0,8928.93359375,27209.03515625
226,103,24.0,18563.814453125,75808.078125
227,1104,31.0,3617.390625,11852.408203125
228,1009,25.0,5214.505859375,21167.75
229,307,14.0,2158.421875,15779.4169921875
230,102,24.0,23879.37109375,98616.25
231,301,40.0,19821.0390625,49091.17578125
232,408,18.0,2166.8994140625,12101.681640625
233,302,37.0,7569.60595703125,20625.869140625
234,411,27.0,6385.673828125,23847.62890625
235,2104,29.0,2706.11181640625,9193.89453125
236,1103,21.0,3061.748779296875,14887.79296875
237,1008,25.0,5689.66162109375,22774.91796875
238,2106,26.0,6804.05224609375,25945.58984375
239,1102,39.0,11573.7109375,29686.6640625
240,2008,15.0,2058.15869140625,13842.92578125
241,1001,41.0,40751.734375,98411.703125
242,115,31.0,174026.625,558537.375
243,309,45.0,7169.1181640625,15872.70703125
244,1101,18.0,16978.9609375,92379.8203125
245,1015,17.0,4294.962890625,25056.08203125
246,2204,17.0,2600.408935546875,15314.27734375
247,316,42.0,1652.1104736328125,3964.281494140625
248,1010,25.0,13227.1240234375,52751.5625
249,1014,17.0,7678.3193359375,44045.51953125
250,313,34.0,4099.177734375,11905.8671875
251,116,32.0,51099.8046875,157698.75
252,310,16.0,1865.95947265625,11866.87890625
253,312,41.0,15525.0244140625,38163.5546875
254,113,24.0,11361.8828125,48215.80078125
255,1004,17.0,3347.6259765625,20127.01953125
256,117,36.0,65092.1484375,181701.46875
257,2203,22.0,5591.1162109375,25253.67578125
258,2105,15.0,2899.513916015625,18881.4375
259,1011,27.0,2463.745361328125,9142.89453125
260,114,33.0,38339.66796875,117260.5234375
261,311,0.0,0.0,17556.53515625
262,412,14.0,4788.14453125,33688.65625
263,1012,26.0,1745.3267822265625,6721.6005859375
264,1006,15.0,5821.181640625,38329.04296875
265,603,21.0,4002.888916015625,18926.1640625
266,314,12.0,3415.122314453125,28925.0078125
267,605,21.0,2871.17041015625,13853.5
268,604,22.0,5626.67822265625,25201.5234375
269,614,23.0,7640.50390625,33452.625
270,1005,12.0,1191.5633544921875,10060.1826171875
271,2202,31.0,6025.7421875,19608.3046875
272,1020,17.0,3636.393798828125,21768.73828125
273,2201,22.0,32188.537109375,146130.0
274,1016,22.0,2266.302978515625,10497.052734375
275,501,30.0,47800.9296875,160809.59375
276,504,23.0,5696.306640625,24750.947265625
277,511,25.0,16210.8955078125,64122.6796875
278,2205,19.0,8027.80224609375,43051.0
279,502,21.0,28057.927734375,135495.984375
280,612,19.0,2688.917236328125,13971.4052734375
281,512,9.0,1569.75146484375,18428.3359375
282,1107,14.0,5167.1328125,37235.21484375
283,602,24.0,11398.1328125,48174.453125
284,2217,15.0,3333.5234375,21574.54296875
285,2216,17.0,2471.031982421875,14175.158203125
286,601,28.0,12029.5458984375,43536.140625
287,613,18.0,4547.6083984375,25961.861328125
288,506,16.0,9938.935546875,60379.8828125
289,513,14.0,9228.9609375,66699.8046875
290,508,10.0,1888.7503662109375,18308.3359375
291,503,13.0,5985.41796875,46534.5625
292,606,15.0,3830.119384765625,25441.8828125
293,2206,34.0,5585.4375,16292.513671875
294,2212,17.0,4481.509765625,26818.64453125
295,505,16.0,7741.0595703125,47302.0859375
296,2207,24.0,3912.332275390625,16193.67578125
297,610,11.0,2481.038330078125,22091.71875
298,2211,16.0,4579.92578125,28947.919921875
299,2209,32.0,1846.989501953125,5829.98583984375
300,609,17.0,4041.2841796875,24485.001953125
301,608,19.0,9720.0908203125,50572.28125
302,2210,13.0,1377.466064453125,10659.873046875
303,2208,12.0,675.572998046875,5560.8564453125
304,611,21.0,3403.031005859375,15840.29296875
305,607,10.0,1027.057373046875,10238.607421875
306,2213,5.0,1095.7244873046875,20332.91015625
307,2214,12.0,4749.453125,40985.2265625
308,509,28.0,15354.6259765625,54589.8671875
309,510,31.0,3867.466796875,12430.73828125
310,2215,14.0,1411.64111328125,9814.232421875
311,1616,12.0,4828.01318359375,40394.953125
312,1322,16.0,2928.286376953125,18439.46875
313,1330,14.0,1038.0826416015625,7586.462890625
314,1306,2.0,689.1151123046875,35123.71875
315,1315,13.0,4646.7822265625,37037.0078125
316,1613,9.0,6370.18017578125,71418.21875
317,315,30.0,3008.640380859375,10010.9375
318,1617,8.0,2735.220947265625,34647.203125
319,1701,9.0,5557.9560546875,60403.62890625
320,1702,12.0,696.004638671875,5800.888671875
321,1704,8.0,3388.247314453125,44878.61328125
322,1703,21.0,12959.6416015625,62062.94921875
323,1709,11.0,8959.9970703125,81009.2734375
324,1705,8.0,5286.2666015625,69882.4921875
325,1711,7.0,1695.7833251953125,22842.02734375
326,1713,10.0,5342.3125,53618.4453125
327,1218,26.0,5191.5810546875,20266.162109375
328,1230,25.0,6164.716796875,24972.875
329,1106,6.0,3146.783203125,56817.53515625
330,1002,22.0,6003.1005859375,27792.482421875
331,1021,8.0,1005.3828125,12211.4384765625
332,1007,19.0,2560.20751953125,13539.974609375
333,2001,24.0,23973.03125,101149.328125
334,1902,25.0,3004.09912109375,12252.1953125
335,1910,10.0,1026.071044921875,10096.24609375
336,1911,18.0,1332.878662109375,7508.802734375
337,1901,17.0,11172.70703125,64635.94140625
338,1714,13.0,1205.453369140625,9463.21875
339,1710,10.0,11853.0615234375,123510.375
340,1712,17.0,11718.6220703125,68077.828125
341,1708,11.0,4505.9677734375,41914.484375
342,1707,18.0,5853.25048828125,33081.99609375
343,1706,16.0,2898.11767578125,17798.41796875
344,1333,26.0,691.804443359375,2636.36962890625
345,1332,20.0,3904.3583984375,19176.091796875
346,514,10.0,2907.77392578125,27775.2421875
347,507,5.0,1852.06787109375,36133.4296875
